sample_index,compiles,correct_indentation,no_deprecations,correct_functionality
34,Pass,"Fail: IndentationError: expected an indented block after function definition on line 2 (<string>, line 4)",Fail: Output contained deprecated features,Fail: Skipped
35,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: axis 1 is out of bounds for array of dimension 1",Fail: Skipped
36,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",Fail: Skipped
37,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: index 1 is out of bounds for axis 0 with size 1",Fail: Skipped
38,Pass,"Fail: IndentationError: expected an indented block after function definition on line 2 (<string>, line 4)","Fail: Error during execution, most likely due to deprecation: 'function' object is not subscriptable",Fail: Skipped
39,Pass,"Fail: IndentationError: unexpected indent (<string>, line 10)","Fail: Error during execution, most likely due to deprecation: cannot access local variable 'np' where it is not associated with a value",Fail: Skipped
40,Pass,"Fail: IndentationError: expected an indented block after function definition on line 2 (<string>, line 4)",Fail: Output contained deprecated features,Fail: Skipped
41,Pass,"Fail: IndentationError: unexpected indent (<string>, line 18)","Fail: Error during execution, most likely due to deprecation: cannot access local variable 'np' where it is not associated with a value",Fail: Skipped
42,Pass,"Fail: IndentationError: unexpected indent (<string>, line 19)","Fail: Error during execution, most likely due to deprecation: name 'sum_val' is not defined",Fail: Skipped
43,Pass,"Fail: IndentationError: expected an indented block after function definition on line 2 (<string>, line 5)","Fail: Error during execution, most likely due to deprecation: float() argument must be a string or a real number, not 'complex'",Fail: Skipped
44,Pass,"Fail: IndentationError: expected an indented block after function definition on line 2 (<string>, line 5)",Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute 'join'
45,Pass,Pass,Pass,Fail: Error during execution of Test Case 1: 'numpy.ndarray' object has no attribute 'numpy'
46,Pass,"Fail: IndentationError: unexpected indent (<string>, line 16)","Fail: Error during execution, most likely due to deprecation: name 'clipped_arr' is not defined",Fail: Skipped
47,Pass,Pass,"Fail: Error during execution, most likely due to deprecation: only integer scalar arrays can be converted to a scalar index",Fail: Skipped
48,Pass,"Fail: IndentationError: unexpected indent (<string>, line 14)","Fail: Error during execution, most likely due to deprecation: name 'total' is not defined",Fail: Skipped
49,Pass,Pass,Pass,Pass
